,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,38.0,34.0,35.9,25.0,20.5,22.8,320.0,265.0,290.8,3.0,2.2,2.6,0.0,0.8,0.6,3.9,3.0,3.4,16.0,10.0,13.8,0.3,0.0,0.2,0.1,0.2,0.2,29.0,20.6,22.8,8,QB
1,Aaron Rodgers,GB,43.0,38.5,40.3,28.0,24.4,25.9,335.0,291.0,303.1,3.0,1.8,2.2,0.0,0.8,0.6,5.0,2.9,3.5,21.5,16.0,18.9,0.2,0.0,0.1,0.2,0.3,0.3,30.8,19.9,21.8,8,QB
2,Jameis Winston,NO,45.0,38.6,41.2,27.5,24.8,26.3,337.0,300.0,313.5,2.1,1.9,2.0,0.0,1.4,1.0,3.8,3.0,3.5,18.8,15.0,16.5,0.2,0.0,0.1,0.2,0.3,0.2,24.5,20.0,20.6,8,QB
3,Kirk Cousins,MIN,40.3,36.0,38.7,28.0,22.0,25.8,319.0,285.0,301.3,2.6,1.6,2.1,0.5,1.0,0.7,3.4,2.0,2.6,10.1,6.5,8.3,0.2,0.0,0.1,0.2,0.3,0.2,23.3,18.4,19.9,8,QB
4,Jared Goff,LAR,38.0,33.0,34.6,24.3,21.5,22.8,308.0,269.4,285.3,2.7,2.0,2.2,0.6,1.0,0.8,3.2,1.6,2.3,12.7,4.0,8.2,0.2,0.0,0.1,0.2,0.3,0.2,23.6,19.0,19.6,8,QB
5,Mitchell Trubisky,CHI,37.0,32.3,34.8,23.0,20.0,21.7,265.0,240.0,250.4,2.1,1.5,1.8,0.0,1.1,0.7,8.0,4.5,5.7,40.0,20.0,30.3,0.4,0.0,0.2,0.2,0.4,0.3,25.3,17.9,19.6,8,QB
6,Ben Roethlisberger,PIT,40.8,39.2,40.1,26.0,24.4,25.3,319.0,277.4,301.0,3.0,1.8,2.3,1.0,1.2,1.1,2.7,1.0,1.9,9.6,3.0,5.1,0.2,0.0,0.1,0.2,0.3,0.3,28.0,18.1,19.5,8,QB
7,Drew Brees,NO,39.5,36.3,38.0,27.0,25.6,26.3,309.5,270.0,295.6,2.5,1.7,2.0,0.0,0.7,0.5,2.1,0.0,1.4,5.7,0.0,2.1,0.2,0.0,0.1,0.1,0.2,0.2,22.6,18.1,19.3,8,QB
8,Deshaun Watson,HOU,37.3,31.0,34.3,23.9,19.0,21.3,303.0,245.0,271.8,2.1,1.0,1.7,0.7,1.7,1.1,6.5,5.1,5.9,38.5,26.0,30.7,0.4,0.0,0.2,0.3,0.3,0.3,23.4,19.0,19.2,8,QB
9,Tom Brady,TB,41.0,35.0,38.5,28.0,23.2,25.6,297.5,263.0,278.6,2.4,2.0,2.1,0.0,0.9,0.6,3.8,0.0,1.8,19.5,0.0,5.5,0.1,0.0,0.1,0.1,0.3,0.2,22.5,17.6,19.2,8,QB
