,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Adam Thielen,MIN,10.0,7.6,8.4,112.0,99.6,105.7,1.0,0.5,0.7,0.2,0.0,0.1,1.3,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,16.5,13.0,14.7,8,WR
1,DeAndre Hopkins,ARI,8.5,6.0,6.8,131.0,85.0,100.4,1.0,0.6,0.8,0.3,0.0,0.1,1.8,-0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.1,17.8,12.5,14.5,8,WR
2,Antonio Brown,TB,8.0,6.7,7.4,110.0,84.9,96.6,1.0,0.6,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.0,12.1,14.5,8,WR
3,AJ Green,CIN,9.0,5.7,6.8,110.0,82.2,94.8,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,17.0,13.0,14.2,8,WR
4,Tyreek Hill,KC,6.0,4.6,5.3,95.0,67.4,82.5,1.0,0.6,0.7,1.5,0.2,1.2,10.3,1.3,6.7,0.1,0.0,0.1,0.0,0.1,0.0,15.5,11.8,13.5,8,WR
5,Michael Thomas,NO,8.0,6.8,7.4,97.7,81.9,90.9,1.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,15.5,11.2,12.8,8,WR
6,Davante Adams,GB,8.0,6.1,6.8,105.0,77.4,86.3,1.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,16.5,11.0,12.8,8,WR
7,Odell Beckham,CLE,7.4,6.8,7.1,95.0,88.2,91.3,1.0,0.4,0.6,0.7,0.2,0.5,3.7,1.1,2.3,0.0,0.0,0.0,0.0,0.2,0.1,15.5,11.9,12.7,8,WR
8,Brandin Cooks,HOU,8.0,4.5,5.7,100.0,70.1,84.8,1.0,0.5,0.7,0.8,0.1,0.5,4.1,1.6,3.2,0.0,0.0,0.0,0.0,0.1,0.0,16.5,10.4,12.7,8,WR
9,Robert Woods,LAR,6.4,5.8,6.0,94.2,70.0,82.2,1.0,0.5,0.6,1.1,0.2,0.8,7.1,2.1,5.2,0.0,0.0,0.0,0.0,0.1,0.0,13.0,11.6,12.3,8,WR
