,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
102,Chase Claypool,PIT,WR,5200.0,Chase Claypool (15677367),15.4,7.15,9.93,12.900000000000002,5.65,8.129999999999999,10.55,7.05,9.93,12.900000000000002,727.2727272727273,523.6656596173211,403.10077519379837,32,7,51,7,7,14,14.2,1.15,366.19718309859155
103,Marcus Johnson,IND,WR,3000.0,Marcus Johnson (15677603),10.27,1.67,5.67,9.239999999999998,1.22,4.7200000000000015,7.839999999999999,1.57,5.67,9.239999999999998,1796.4071856287424,529.1005291005291,324.67532467532465,55,8,52,7,7,15,5.9,0.74,508.47457627118644
104,Anthony Miller,CHI,WR,4300.0,Anthony Miller (15677403),7.26,5.7200000000000015,7.83,10.03,4.37,6.28,8.03,5.7200000000000015,7.83,10.03,751.7482517482516,549.1698595146871,428.7138584247258,47,7,53,8,7,15,15.3,0.06,281.0457516339869
105,Isaiah Ford,MIA,WR,3100.0,Isaiah Ford (15677459),6.88,2.51,5.630000000000001,8.52,1.91,4.43,6.7200000000000015,2.51,5.630000000000001,8.52,1235.0597609561753,550.6216696269981,363.849765258216,56,8,54,8,8,16,2.0,0.01,1550.0
106,KJ Hamler,DEN,WR,3600.0,KJ Hamler (15677425),4.98,3.7,6.4700000000000015,8.58,2.6,5.17,6.88,3.6,6.4700000000000015,8.58,972.972972972973,556.4142194744976,419.58041958041963,52,8,55,8,8,16,10.3,0.04,349.5145631067961
107,James Washington,PIT,WR,3000.0,James Washington (15677467),7.92,2.1,5.3599999999999985,8.690000000000001,1.6,4.36,7.19,2.1,5.3599999999999985,8.690000000000001,1428.5714285714284,559.7014925373136,345.22439585730723,57,8,56,8,8,16,0.0,0.02,1000.0
108,Trent Taylor,SF,WR,3000.0,Trent Taylor (15677477),1.5,2.51,5.300000000000002,8.920000000000002,1.76,4.1,6.920000000000001,2.41,5.300000000000002,8.920000000000002,1195.2191235059759,566.0377358490565,336.3228699551569,59,8,57,8,8,16,6.2,0.04,483.8709677419355
109,Miles Boykin,BAL,WR,3000.0,Miles Boykin (15677465),3.87,3.73,5.300000000000002,6.4300000000000015,2.9300000000000006,4.300000000000002,5.28,3.73,5.300000000000002,6.4300000000000015,804.2895442359247,566.0377358490565,466.5629860031103,58,8,58,8,8,16,10.0,0.01,300.0
110,Jakeem Grant,MIA,WR,3000.0,Jakeem Grant (15677491),4.72,3.58,5.16,5.93,2.68,4.110000000000001,4.68,3.48,5.16,5.93,837.9888268156426,581.3953488372092,505.9021922428331,60,8,59,8,8,16,8.5,0.0,352.94117647058823
111,Jalen Guyton,LAC,WR,3600.0,Jalen Guyton (15677429),8.57,4.0600000000000005,6.07,8.84,3.2100000000000004,4.9700000000000015,7.34,4.0600000000000005,6.07,8.84,886.6995073891625,593.0807248764415,407.23981900452486,54,8,60,8,8,16,1.3,0.12,2769.230769230769
