,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Davante Adams,GB,9.0,7.1,7.9,110.0,83.6,99.5,1.0,0.7,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.0,13.2,15.2,8,WR
1,Tyreek Hill,KC,6.0,4.6,5.2,86.6,70.4,78.0,1.0,0.5,0.7,1.4,0.7,1.1,10.2,3.1,6.4,0.1,0.0,0.1,0.0,0.1,0.0,14.2,10.7,12.8,8,WR
2,Tyler Lockett,SEA,7.0,6.0,6.4,94.0,75.0,84.5,1.0,0.6,0.7,0.7,0.0,0.3,4.8,0.0,1.5,0.0,0.0,0.0,0.0,0.1,0.0,15.4,10.9,12.7,8,WR
3,DK Metcalf,SEA,6.0,4.2,4.9,107.0,74.3,83.4,1.0,0.6,0.7,0.1,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,16.7,11.3,12.6,8,WR
4,Calvin Ridley,ATL,7.0,5.3,5.9,92.0,69.1,79.5,1.0,0.5,0.7,0.5,0.2,0.4,3.3,0.7,2.0,0.0,0.0,0.0,0.0,0.1,0.0,15.2,10.3,12.1,8,WR
5,AJ Brown,TEN,6.0,4.3,4.8,88.0,67.7,79.9,1.0,0.4,0.6,0.2,0.0,0.1,3.8,0.1,1.7,0.1,0.0,0.0,0.0,0.0,0.0,14.8,9.9,12.0,8,WR
6,Robby Anderson,CAR,7.0,5.7,6.2,99.2,79.5,87.1,1.0,0.4,0.5,0.3,0.1,0.2,1.7,0.2,0.9,0.0,0.0,0.0,0.0,0.1,0.1,15.3,10.6,12.0,8,WR
7,DJ Moore,CAR,6.5,5.0,5.7,94.4,75.9,85.5,1.0,0.2,0.5,0.6,0.3,0.4,7.4,0.7,3.1,0.0,0.0,0.0,0.0,0.2,0.1,14.4,9.4,11.8,8,WR
8,Julio Jones,ATL,7.0,6.0,6.4,97.5,80.2,86.6,1.0,0.4,0.5,0.1,0.0,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,14.3,10.4,11.7,8,WR
9,Kenny Golladay,DET,8.0,4.5,5.4,96.0,69.3,81.4,1.0,0.4,0.6,0.1,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,15.6,9.4,11.7,8,WR
10,Adam Thielen,MIN,7.0,4.8,5.7,89.0,66.1,76.4,1.0,0.4,0.6,0.6,0.3,0.4,3.4,1.1,2.0,0.0,0.0,0.0,0.0,0.1,0.1,14.9,9.6,11.7,8,WR
11,Keenan Allen,LAC,7.6,6.3,7.0,88.4,75.8,82.3,1.0,0.4,0.5,0.3,0.0,0.2,2.0,0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.0,14.4,10.3,11.4,8,WR
12,Stefon Diggs,BUF,7.0,5.0,6.0,85.1,74.6,80.7,1.0,0.4,0.5,0.5,0.1,0.3,2.9,0.8,1.8,0.0,0.0,0.0,0.0,0.1,0.0,14.5,10.0,11.3,8,WR
