,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,36.2,33.0,34.9,24.9,21.6,23.3,315.9,265.0,289.2,3.0,2.0,2.5,0.0,0.7,0.5,5.0,4.2,4.6,29.0,17.2,22.5,0.3,0.0,0.2,0.0,0.2,0.1,28.3,22.1,23.9,8,QB
1,Russell Wilson,SEA,37.1,33.0,35.4,27.0,21.6,24.2,310.0,268.6,285.4,3.0,2.0,2.5,0.0,0.8,0.6,5.3,4.4,4.7,30.2,22.9,26.5,0.2,0.0,0.1,0.1,0.3,0.1,30.2,21.3,23.3,8,QB
2,Aaron Rodgers,GB,41.0,35.8,37.4,29.0,22.8,24.6,306.0,261.0,280.1,3.0,2.0,2.4,0.0,0.6,0.4,3.6,1.9,2.4,19.1,7.3,11.0,0.1,0.0,0.1,0.0,0.2,0.1,28.2,19.1,21.2,8,QB
3,Lamar Jackson,BAL,31.7,23.8,27.8,19.9,15.1,17.8,234.0,180.7,208.9,1.9,1.0,1.4,0.4,1.0,0.7,11.5,7.8,9.2,72.8,44.2,53.6,1.0,0.3,0.5,0.1,0.3,0.2,26.7,19.0,20.5,8,QB
4,Josh Allen,BUF,37.0,31.6,34.9,23.0,18.7,21.3,286.0,221.4,254.2,2.0,1.2,1.6,0.7,1.3,0.9,7.8,5.7,6.7,46.2,33.3,38.1,0.5,0.0,0.4,0.2,0.3,0.3,25.7,19.2,20.1,8,QB
5,Carson Wentz,PHI,39.1,32.0,35.8,24.8,20.4,22.6,277.9,228.7,258.7,2.1,1.7,1.9,0.7,1.0,0.8,5.7,4.0,4.6,25.7,15.0,20.9,0.5,0.0,0.3,0.2,0.4,0.3,22.8,18.0,19.4,8,QB
6,Ryan Tannehill,TEN,33.2,28.3,30.1,22.4,19.0,20.4,294.5,236.4,263.0,2.5,1.8,2.1,0.6,1.0,0.7,3.8,2.8,3.3,16.5,11.0,14.6,0.2,0.0,0.1,0.1,0.3,0.2,22.3,17.9,19.3,8,QB
7,Tom Brady,TB,38.2,35.4,36.7,26.0,22.7,24.5,309.0,246.1,281.7,2.3,1.9,2.1,0.0,0.7,0.5,2.3,0.0,1.5,5.1,0.0,1.9,0.2,0.0,0.1,0.1,0.2,0.1,23.0,17.9,19.2,8,QB
8,Justin Herbert,LAC,38.0,33.1,35.4,25.0,21.3,23.3,282.0,248.5,269.4,2.0,1.6,1.7,0.6,1.0,0.8,5.0,3.3,4.1,25.3,14.3,19.6,0.2,0.0,0.2,0.1,0.3,0.2,24.2,18.4,18.6,8,QB
9,Joe Burrow,CIN,42.0,34.8,39.4,27.0,21.6,25.5,293.6,258.3,280.2,2.0,1.6,1.7,0.8,1.1,1.0,4.9,3.0,4.0,26.1,15.0,19.1,0.4,0.0,0.2,0.1,0.5,0.3,24.1,18.7,18.6,8,QB
10,Teddy Bridgewater,CAR,36.7,34.8,35.9,26.7,23.2,25.0,312.0,268.0,284.1,2.0,1.4,1.8,0.7,1.0,0.8,5.0,1.1,3.6,15.4,4.6,10.6,0.3,0.0,0.1,0.0,0.2,0.1,22.8,17.3,18.5,8,QB
11,Derek Carr,LV,36.2,33.8,35.4,25.1,24.0,24.6,292.0,270.2,281.6,2.2,1.6,1.9,0.5,1.0,0.7,5.0,1.9,2.7,11.0,4.5,7.0,0.1,0.0,0.1,0.1,0.5,0.3,22.7,17.8,18.2,8,QB
12,Matt Ryan,ATL,40.3,35.0,37.9,27.6,22.0,25.0,303.6,278.0,288.9,2.0,1.7,1.8,0.6,1.0,0.7,2.5,1.0,1.7,8.2,1.0,5.6,0.1,0.0,0.0,0.1,0.2,0.2,22.5,17.5,17.9,8,QB
13,Jared Goff,LAR,36.0,31.3,34.0,23.0,20.4,22.0,294.0,238.3,268.8,2.0,1.5,1.7,0.7,1.0,0.8,3.0,2.3,2.7,10.6,4.3,7.2,0.2,0.0,0.1,0.1,0.2,0.2,22.4,15.4,17.1,8,QB
14,Cam Newton,NE,31.5,27.9,29.4,19.2,18.0,18.7,217.0,183.0,205.9,1.2,0.8,1.0,0.9,1.2,1.0,10.2,7.0,8.3,44.0,31.0,38.0,1.0,0.3,0.5,0.1,0.2,0.1,23.2,15.9,17.0,8,QB
15,Matthew Stafford,DET,36.0,32.2,34.8,25.0,20.5,23.0,282.9,241.8,267.9,1.9,1.0,1.6,0.0,0.9,0.6,4.0,2.1,2.6,11.0,6.0,8.5,0.1,0.0,0.0,0.1,0.3,0.2,18.7,14.9,16.6,8,QB
16,Jimmy Garoppolo,SF,38.0,30.9,34.2,25.0,21.1,23.0,288.9,252.8,269.4,2.0,1.6,1.8,0.8,1.2,1.0,2.5,0.0,1.7,6.3,1.0,4.1,0.1,0.0,0.1,0.1,0.3,0.2,22.1,15.0,16.4,8,QB
17,Baker Mayfield,CLE,34.0,30.9,32.8,21.0,19.0,20.1,265.9,228.5,248.3,2.2,1.0,1.8,0.9,1.2,1.0,2.7,1.3,2.0,11.5,5.9,8.0,0.1,0.0,0.1,0.0,0.2,0.1,18.8,16.1,16.3,8,QB
18,Drew Brees,NO,36.8,30.0,33.3,25.1,22.0,23.5,275.2,216.0,257.3,2.0,1.3,1.6,0.0,0.8,0.5,1.5,0.0,0.9,4.0,0.0,1.5,0.1,0.0,0.1,0.0,0.2,0.1,20.8,14.1,16.0,8,QB
19,Philip Rivers,IND,35.1,30.0,33.5,23.3,20.0,22.0,270.0,255.0,263.8,2.0,1.4,1.7,0.0,1.0,0.7,1.9,0.0,1.2,4.2,0.0,2.1,0.1,0.0,0.0,0.0,0.2,0.1,20.8,14.4,16.0,8,QB
20,Kirk Cousins,MIN,36.0,29.8,32.1,24.0,19.6,21.3,287.0,233.6,252.6,2.0,1.5,1.7,0.7,1.1,0.8,2.7,0.9,1.8,8.3,3.9,5.6,0.1,0.0,0.0,0.1,0.3,0.2,22.8,14.7,15.7,8,QB
21,Ben Roethlisberger,PIT,40.2,35.0,36.3,26.3,22.8,23.8,281.5,233.0,260.8,2.0,1.4,1.6,0.8,1.0,0.9,2.4,0.0,1.6,5.6,0.0,3.3,0.1,0.0,0.0,0.0,0.3,0.1,21.5,13.6,15.4,8,QB
22,Tua Tagovailoa,MIA,37.0,33.3,34.9,23.2,20.2,22.3,251.5,224.2,241.8,1.6,1.0,1.3,0.7,1.1,0.9,6.0,1.6,3.2,19.0,4.7,12.4,0.3,0.0,0.1,0.1,0.3,0.2,18.1,14.2,14.5,8,QB
23,Nick Foles,CHI,37.7,31.0,34.8,24.0,19.0,22.3,262.1,230.0,244.5,1.9,1.0,1.4,0.7,1.2,1.0,2.7,1.0,2.1,11.6,1.4,4.2,0.2,0.0,0.1,0.1,0.3,0.2,16.8,14.1,14.2,8,QB
24,Daniel Jones,NYG,37.5,28.0,33.3,23.8,20.0,21.3,248.5,203.0,222.1,1.4,0.9,1.2,0.8,1.5,1.1,7.0,4.1,4.8,36.2,19.8,26.6,0.2,0.0,0.1,0.2,0.8,0.5,18.0,13.4,13.6,8,QB
25,Drew Lock,DEN,35.8,30.1,33.1,22.3,18.2,20.5,251.3,206.6,224.8,1.3,0.9,1.1,0.8,1.2,0.9,4.4,1.0,2.6,20.8,5.0,10.9,0.2,0.0,0.1,0.1,0.4,0.2,15.7,13.0,12.8,8,QB
26,Ben DiNucci,DAL,35.7,28.8,32.6,21.6,18.4,19.9,245.0,200.7,226.4,1.3,0.7,1.0,0.6,1.1,0.9,3.9,1.0,2.4,20.1,3.0,10.3,0.2,0.0,0.1,0.1,0.3,0.2,16.6,12.6,12.6,8,QB
27,Sam Darnold,NYJ,34.9,27.0,32.3,21.2,15.0,18.7,234.7,183.0,208.8,1.1,0.9,1.0,0.9,2.0,1.1,4.0,2.4,3.0,17.5,8.0,12.4,0.1,0.0,0.1,0.1,0.2,0.1,14.9,9.2,11.5,8,QB
28,Taysom Hill,NO,1.1,0.7,0.9,1.0,0.4,0.8,31.9,4.3,16.6,0.1,0.0,0.0,0.0,0.1,0.1,2.9,0.0,1.3,31.8,0.3,14.7,0.6,0.0,0.2,0.0,0.0,0.0,3.6,0.8,3.3,8,QB
29,Jalen Hurts,PHI,8.6,0.4,3.5,5.0,0.2,2.0,46.8,2.6,18.3,0.1,0.0,0.0,0.0,0.4,0.1,2.5,0.7,1.8,15.9,0.7,8.4,0.2,0.0,0.1,0.0,0.2,0.1,3.6,1.4,1.9,8,QB
30,Nick Mullens,SF,0.0,0.0,0.0,0.0,0.0,0.0,25.2,25.2,25.2,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,8,QB
31,Marcus Mariota,LV,1.4,1.4,1.4,1.0,1.0,1.0,11.7,11.7,11.7,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8,QB
32,Tyrod Taylor,LAC,1.4,1.4,1.4,0.9,0.9,0.9,11.2,11.2,11.2,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,8,QB
33,Ryan Fitzpatrick,MIA,8.2,1.4,4.8,4.5,0.9,2.7,44.8,9.8,23.6,0.1,0.0,0.1,0.0,0.6,0.2,1.0,0.2,0.6,3.1,0.1,1.4,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.9,0.9,8,QB
34,David Blough,DET,1.4,1.4,1.4,0.9,0.9,0.9,10.1,10.1,10.1,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,8,QB
