,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Derrick Henry,TEN,27.1,18.8,22.4,125.2,84.4,104.9,1.2,0.7,1.0,3.0,1.3,1.9,21.0,11.6,16.2,0.1,0.0,0.1,0.1,0.2,0.1,21.0,14.7,18.4,8,RB
1,Kareem Hunt,CLE,22.6,13.2,19.0,102.0,71.7,85.2,1.0,0.6,0.8,3.8,2.4,3.1,36.6,21.5,27.8,0.5,0.0,0.3,0.0,0.2,0.1,17.8,17.0,17.2,8,RB
2,Alvin Kamara,NO,16.0,10.8,13.5,75.6,57.4,63.9,1.0,0.5,0.6,7.0,5.6,6.6,63.2,49.5,55.5,0.4,0.0,0.2,0.0,0.2,0.1,18.1,15.3,17.0,8,RB
3,Dalvin Cook,MIN,20.0,16.7,17.5,91.1,77.5,83.6,1.0,0.6,0.8,4.0,2.8,3.3,31.0,22.1,26.8,0.1,0.0,0.1,0.1,0.2,0.2,17.9,14.7,15.7,8,RB
4,Mike Davis,CAR,17.3,12.7,15.2,70.8,49.8,63.4,1.0,0.4,0.7,5.4,4.0,4.8,40.6,33.1,35.2,0.3,0.0,0.2,0.1,0.2,0.1,16.3,13.6,14.8,8,RB
5,Jonathan Taylor,IND,19.3,14.4,16.6,85.1,61.8,73.4,1.0,0.5,0.7,3.1,2.0,2.4,24.1,19.0,21.8,0.2,0.0,0.1,0.0,0.2,0.1,16.3,12.2,14.1,8,RB
6,Todd Gurley,ATL,18.0,15.3,16.5,73.7,62.0,69.7,1.0,0.6,0.8,4.0,2.0,2.8,26.2,14.2,20.0,0.2,0.0,0.1,0.1,0.2,0.1,15.8,12.1,14.0,8,RB
7,Josh Jacobs,LV,22.9,16.8,19.0,94.1,67.9,78.0,1.0,0.6,0.7,3.1,2.0,2.5,22.5,16.0,19.2,0.1,0.0,0.1,0.1,0.2,0.1,15.3,12.5,13.9,8,RB
8,Ezekiel Elliott,DAL,19.5,17.2,18.2,84.6,64.7,74.7,1.0,0.5,0.6,4.0,2.9,3.2,31.0,19.8,24.7,0.1,0.0,0.1,0.1,0.3,0.2,16.4,13.1,13.8,8,RB
9,Jamaal Williams,GB,19.0,12.3,16.4,74.0,55.3,65.6,1.0,0.3,0.5,4.0,3.4,3.8,36.0,28.9,31.3,0.4,0.0,0.2,0.0,0.2,0.1,17.0,12.0,13.7,8,RB
10,Clyde Edwards-Helaire,KC,17.0,11.7,13.3,73.2,52.1,62.8,1.0,0.5,0.6,3.3,2.5,2.9,30.4,21.5,26.3,0.2,0.0,0.1,0.0,0.1,0.1,15.4,12.0,13.1,8,RB
11,Boston Scott,PHI,19.0,10.1,14.5,73.0,47.1,59.5,1.0,0.3,0.6,4.2,2.5,3.1,42.8,19.8,28.1,0.3,0.0,0.1,0.0,0.2,0.1,15.9,11.2,12.7,8,RB
12,Giovani Bernard,CIN,16.0,8.9,14.0,66.3,39.8,55.2,1.0,0.4,0.5,4.3,3.0,3.8,40.9,27.0,31.6,0.2,0.0,0.1,0.0,0.2,0.1,15.0,11.0,12.3,8,RB
13,Darrell Henderson,LAR,14.2,13.2,13.9,89.9,59.5,68.2,1.0,0.0,0.5,3.0,0.8,1.7,23.5,10.9,15.6,0.1,0.0,0.1,0.0,0.1,0.0,14.3,11.1,11.8,8,RB
14,James Conner,PIT,18.0,13.3,15.6,71.0,60.6,66.8,0.7,0.0,0.4,4.3,2.1,2.9,25.6,16.7,21.3,0.2,0.0,0.1,0.1,0.2,0.1,13.5,9.2,11.7,8,RB
15,Ronald Jones,TB,15.1,13.1,14.3,65.7,51.1,61.6,1.0,0.4,0.6,2.7,1.6,2.2,21.5,10.0,16.5,0.1,0.0,0.0,0.1,0.2,0.1,13.6,9.7,11.5,8,RB
16,David Montgomery,CHI,16.6,14.0,15.4,66.4,43.6,57.7,1.0,0.3,0.5,3.7,2.1,2.8,28.5,16.6,21.8,0.2,0.0,0.1,0.1,0.2,0.1,14.3,9.2,11.3,8,RB
17,Myles Gaskin,MIA,15.8,13.4,14.4,65.6,56.2,60.7,0.6,0.0,0.4,4.4,2.7,3.7,30.9,19.0,26.3,0.1,0.0,0.0,0.0,0.2,0.1,12.4,8.2,11.0,8,RB
18,Melvin Gordon,DEN,16.0,12.5,13.8,65.0,51.0,55.4,1.0,0.3,0.5,3.3,2.0,2.5,22.3,15.8,18.6,0.1,0.0,0.1,0.1,0.3,0.2,14.1,9.5,10.6,8,RB
19,D'Andre Swift,DET,13.3,9.0,10.3,57.9,35.0,44.1,0.5,0.0,0.3,4.0,2.9,3.3,41.1,18.1,28.8,0.2,0.0,0.1,0.0,0.1,0.1,12.5,6.6,9.8,8,RB
20,Leonard Fournette,TB,17.3,9.0,12.4,61.4,27.6,44.2,1.0,0.2,0.4,3.3,0.9,2.4,27.0,4.7,18.7,0.1,0.0,0.0,0.0,0.1,0.0,13.9,5.8,8.9,8,RB
