Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Derek Carr,LV,QB,5500.0,Derek Carr (15677059),21.06,14.394,19.962,23.200999999999997,12.894,17.372,19.956000000000003,13.894,18.072,20.556,382.1036543004029,275.5234946398157,237.0587474677816,9,4,1,1,1,5
Jimmy Garoppolo,SF,QB,5400.0,Jimmy Garoppolo (15677060),13.32,15.633999999999995,19.384,22.304,13.403999999999998,16.654000000000003,18.974,14.703999999999997,17.654000000000003,19.774,345.4010489957785,278.58027238959966,242.1090387374462,10,4,2,1,1,5
Joe Burrow,CIN,QB,6200.0,Joe Burrow (15677051),22.0,17.529000000000003,21.549999999999997,25.699999999999996,15.024000000000004,18.399999999999995,22.25,16.124000000000002,19.399999999999995,23.05,353.69958354726447,287.70301624129934,241.24513618677048,4,3,3,1,1,4
Russell Wilson,SEA,QB,7800.0,Russell Wilson (15677041),32.55,21.315999999999995,26.309999999999995,31.519999999999996,18.795999999999996,23.31,28.419999999999998,19.595999999999997,23.91,28.419999999999998,365.9223118784013,296.4652223489168,247.4619289340102,2,1,4,2,1,3
Patrick Mahomes,KC,QB,8100.0,Patrick Mahomes (15677040),25.78,20.660000000000004,26.842,32.251999999999995,18.510000000000005,23.802,29.252,19.210000000000004,24.302,29.252,392.06195546950624,301.7658892779972,251.14721567654723,1,1,5,2,1,3
Cam Newton,NE,QB,5700.0,Cam Newton (15677056),19.95,13.5,17.823999999999998,23.157999999999998,12.1,16.724,22.258,13.299999999999999,17.724,23.058,422.22222222222223,319.7935368043088,246.1352448397962,14,5,6,3,3,8
Ryan Tannehill,TEN,QB,6800.0,Ryan Tannehill (15677046),23.97,15.486,20.978,26.674999999999997,14.186000000000002,19.068000000000005,23.25,15.186000000000002,19.768000000000004,23.85,439.10628955185325,324.14910858995137,254.92033739456423,8,3,7,4,3,7
Justin Herbert,LAC,QB,6900.0,Justin Herbert (15677045),27.76,16.885999999999996,21.224,24.409999999999997,15.165999999999999,18.744,21.610000000000003,16.165999999999997,19.544,22.21,408.6225275376052,325.1036562382209,282.67103646046706,7,3,8,4,3,7
Aaron Rodgers,GB,QB,7600.0,Aaron Rodgers (15677042),23.86,19.465999999999994,23.330000000000005,29.750000000000004,17.746,20.980000000000004,26.750000000000004,18.246,21.380000000000006,26.750000000000004,390.4243296003289,325.7608229747106,255.46218487394955,3,2,9,4,2,6
Josh Allen,BUF,QB,7000.0,Josh Allen (15677044),26.73,15.367999999999999,21.387,28.46,13.768,19.671999999999997,25.26,15.068,20.572,25.96,455.49193128578867,327.30163183242155,245.9592410400562,5,3,10,4,3,7
Philip Rivers,IND,QB,5900.0,Philip Rivers (15677054),15.32,15.35,17.97,21.32,13.4,15.969999999999999,19.820000000000004,14.4,16.67,19.820000000000004,384.36482084690556,328.32498608792434,276.7354596622889,13,5,11,4,4,9
Jared Goff,LAR,QB,6500.0,Jared Goff (15677048),19.94,14.758000000000001,19.257999999999996,23.47,13.558,16.848000000000003,20.220000000000002,14.558,17.648,20.92,440.4390838867055,337.52206875064917,276.9492969748615,11,4,12,5,4,9
Matthew Stafford,DET,QB,6400.0,Matthew Stafford (15677049),18.48,13.161999999999999,18.506999999999998,22.660999999999994,11.872,16.342000000000002,20.416,12.772,16.942,20.416,486.2482905333536,345.815096990328,282.42354706323647,12,5,13,5,5,10
Lamar Jackson,BAL,QB,7400.0,Lamar Jackson (15677043),22.0,15.392,21.348000000000003,28.738,14.092,20.448,28.238000000000003,15.092,21.148000000000003,28.638,480.7692307692308,346.63668727749666,257.49878210035496,6,3,14,5,3,8
Tua Tagovailoa,MIA,QB,5600.0,Tua Tagovailoa (15677057),0.36,12.086,15.802999999999999,19.935,10.686,14.568,18.560000000000002,11.786000000000001,15.468,19.26,463.346020188648,354.36309561475673,280.9129671432155,19,7,15,6,6,13
Drew Brees,NO,QB,6300.0,Drew Brees (15677050),20.45,12.84,17.625999999999998,21.767999999999997,11.84,16.206,20.008,12.639999999999999,16.706,20.008,490.6542056074766,357.42652899126296,289.41565600882035,15,5,16,6,5,11
Kirk Cousins,MIN,QB,6000.0,Kirk Cousins (15677053),17.75,13.64,16.778999999999996,22.46,12.240000000000002,15.324,19.310000000000006,13.340000000000002,16.124,20.01,439.88269794721407,357.58984444841775,267.1415850400712,17,6,17,6,6,12
Baker Mayfield,CLE,QB,6100.0,Baker Mayfield (15677052),16.04,11.118000000000002,16.686,20.831,9.718,15.586,18.736,10.918000000000001,16.586000000000002,19.536,548.6598309048389,365.575931918974,292.8327972732946,18,6,18,7,6,13
Sam Darnold,NYJ,QB,4800.0,Sam Darnold (15677067),12.04,9.680000000000001,13.08,15.534,7.48,11.879999999999999,14.534,9.48,12.98,15.434000000000001,495.86776859504124,366.9724770642202,308.9996137504828,22,8,19,7,7,15
Nick Foles,CHI,QB,5800.0,Nick Foles (15677055),13.89,11.7,15.379999999999999,20.714,10.100000000000001,13.979999999999999,18.834000000000003,11.4,14.979999999999999,19.534,495.7264957264958,377.1131339401821,280.00386212223617,20,7,20,8,7,15
Drew Lock,DEN,QB,5300.0,Drew Lock (15677062),8.34,11.164,14.044,18.322999999999993,9.563999999999998,12.943999999999999,16.838,10.764,13.844,17.637999999999998,474.74023647438196,377.3853602962119,289.25394313158336,21,8,21,8,8,16
