"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","3.0","1.4","0.7","0.8","0.3","0.0","19.5","338.7","9.8"
"Houston Texans","","2.5","1.6","0.7","1.1","0.3","0.0","18.3","286.5","9.7"
"Jacksonville Jaguars","","2.8","1.3","0.6","0.7","0.2","0.0","15.5","298.0","8.8"
"Atlanta Falcons","","2.6","1.3","0.6","0.7","0.2","0.0","18.2","312.2","8.7"
"Minnesota Vikings","","2.8","1.0","0.6","0.8","0.2","0.0","18.6","302.1","8.4"
"Buffalo Bills","","2.5","1.0","0.7","1.1","0.2","0.0","18.8","307.4","8.3"
"Seattle Seahawks","","2.5","1.0","0.7","1.2","0.2","0.0","19.1","333.9","8.1"
"Detroit Lions","","2.9","1.2","0.6","0.8","0.2","0.0","20.3","326.9","7.9"
"Chicago Bears","","3.1","1.0","0.7","1.1","0.2","0.0","20.3","343.6","7.8"
"New York Jets","","2.8","1.1","0.7","1.0","0.2","0.0","26.4","384.6","7.8"
"Los Angeles Rams","","2.6","1.0","0.8","1.2","0.2","0.0","20.4","353.4","7.7"
"Denver Broncos","","2.7","1.1","0.7","1.1","0.2","0.1","21.1","340.7","7.7"
"Indianapolis Colts","","3.3","0.7","0.8","1.0","0.2","0.0","24.1","360.0","7.5"
"New Orleans Saints","","2.7","1.0","0.7","0.9","0.2","0.0","23.4","367.4","7.5"
"Kansas City Chiefs","","2.2","0.8","0.7","1.0","0.3","0.0","29.0","443.9","7.0"
"Tennessee Titans","","2.8","0.9","0.6","0.8","0.2","0.0","22.2","354.1","7.0"
"Green Bay Packers","","2.5","1.0","0.6","0.7","0.2","0.1","26.2","359.4","6.9"
"Washington Redskins","","2.7","0.7","0.7","1.3","0.2","0.1","20.6","337.1","6.8"
"Tampa Bay Buccaneers","","2.2","1.0","0.7","0.9","0.2","0.0","28.1","382.7","6.8"
"New York Giants","","2.5","1.0","0.6","0.7","0.2","0.0","22.3","346.0","6.8"
"Philadelphia Eagles","","2.3","0.9","0.7","1.0","0.2","0.1","32.0","429.1","6.7"
"Cincinnati Bengals","","2.4","0.7","0.7","0.9","0.2","0.0","21.9","366.1","6.4"
"Dallas Cowboys","","2.0","0.9","0.7","1.0","0.2","0.1","25.0","365.8","6.4"
"Oakland Raiders","","1.8","1.1","0.6","0.7","0.2","0.0","25.9","382.7","6.4"
"San Francisco 49ers","","2.9","0.7","0.6","0.6","0.1","0.0","27.0","362.5","6.4"
"Cleveland Browns","","2.1","0.8","0.6","0.9","0.2","0.0","23.0","339.7","6.2"
"Los Angeles Chargers","","2.3","0.9","0.5","0.6","0.2","0.0","30.1","406.3","6.2"
"New England Patriots","","1.7","1.1","0.5","0.7","0.2","0.0","26.1","424.1","6.2"
"Pittsburgh Steelers","","2.2","0.7","0.7","0.9","0.2","0.0","28.5","397.1","6.0"
"Miami Dolphins","","1.7","0.8","0.7","1.0","0.2","0.0","26.2","385.9","5.8"
"Carolina Panthers","","1.9","0.7","0.8","1.1","0.2","0.0","31.9","419.0","5.8"
"Arizona Cardinals","","2.4","0.7","0.6","0.9","0.1","0.0","25.1","367.5","5.8"
""
""
