,Player,Salary
0,Odell Beckham Jr.,8100
1,Kerryon Johnson,5300
2,DeSean Jackson,4800
3,Devonta Freeman,4600
4,Rashaad Penny,4300
5,Tyler Bray,4000
6,Bruce Ellington,4000
7,Colt McCoy,4000
8,Jordan Reed,4000
9,Jimmy Garoppolo,4000
10,DeVante Parker,3900
11,Pierre Garcon,3500
12,Kapri Bibbs,3400
13,D.J. Chark,3400
14,Ronald Jones,3200
15,Danny Vitale,3000
16,Geronimo Allison,3000
17,Jaleel Scott,3000
18,Quincy Adeboyejo,3000
19,Marshawn Lynch,3000
20,C.J. Anderson,3000
21,ArDarius Stewart,3000
22,David Fluellen,3000
23,Michael Campanaro,3000
24,Cameron Batson,3000
25,C.J. Ham,3000
26,Albert Wilson,3000
27,Chad Beebe,3000
28,Rob Kelley,3000
29,Corey Grant,3000
30,Terrance Williams,3000
31,Matt Hazel,3000
32,Reece Fountain,3000
33,Matt Dayes,3000
34,Le'Veon Bell,3000
35,Matthew Slater,3000
36,Cody Hollister,3000
37,Patrick Scales,2500
38,Michael Roberts,2500
39,Tyler Eifert,2500
40,Jonnu Smith,2500
41,Delanie Walker,2500
42,Beau Brinkley,2500
43,Tyler Conklin,2500
44,Josiah Price,2500
45,Kevin McDermott,2500
46,Niles Paul,2500
47,Geoff Swaim,2500
48,Erik Swoope,2500
49,Will Dissly,2500
50,Tyler Ott,2500
