,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
66,Devine Ozigbo,JAC,3.6,1.9,2.8,12.4,4.3,9.1,0.1,0.0,0.0,2.0,0.6,1.3,12.0,2.9,7.6,0.1,0.0,0.0,0.0,0.1,0.0,3.6,0.9,2.1,7,RB
67,Kyle Juszczyk,SF,1.5,0.5,0.8,5.4,1.4,2.8,0.1,0.0,0.0,2.3,1.1,1.5,16.3,12.6,14.3,0.1,0.0,0.0,0.0,0.2,0.0,2.5,1.9,2.0,7,RB
68,Trayveon Williams,CIN,6.0,1.8,3.5,22.0,5.2,11.7,0.2,0.0,0.1,1.2,0.0,0.6,6.6,1.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.2,2.0,7,RB
69,Travis Homer,SEA,2.3,2.2,2.3,14.6,9.3,11.2,0.1,0.0,0.0,2.2,0.6,1.1,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.8,1.9,7,RB
70,Darrel Williams,KC,6.6,1.4,3.0,18.6,5.4,9.8,0.1,0.0,0.0,3.2,0.2,1.2,12.5,1.8,6.7,0.0,0.0,0.0,0.0,0.1,0.0,2.6,1.3,1.9,7,RB
71,LeSean McCoy,TB,6.7,0.5,2.5,13.8,2.0,6.8,0.1,0.0,0.0,1.8,0.2,1.2,12.9,1.7,7.7,0.1,0.0,0.0,0.0,0.0,0.0,2.7,1.4,1.9,7,RB
72,Qadree Ollison,ATL,1.7,1.7,1.7,5.4,5.4,5.4,0.2,0.2,0.2,0.1,0.1,0.1,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8,7,RB
73,Dontrell Hilliard,CLE,5.5,1.9,3.0,16.5,6.9,10.3,0.1,0.0,0.1,1.5,0.2,0.6,5.1,1.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.6,1.8,7,RB
74,JJ Taylor,NE,2.6,2.6,2.6,10.9,10.9,10.9,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8,7,RB
75,Jason Huntley,PHI,3.2,1.5,2.4,10.7,6.2,8.4,0.1,0.0,0.0,1.2,0.8,1.0,8.1,3.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,1.7,7,RB
