,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Joe Burrow,CIN,QB,5500.0,Joe Burrow (15642198),16.089999999999996,20.335,24.219999999999995
1,Kyler Murray,ARI,QB,7100.0,Kyler Murray (15642184),20.105999999999998,25.567,32.845
2,Justin Herbert,LAC,QB,6400.0,Justin Herbert (15642190),16.234,22.512999999999998,29.469999999999995
0,Jamaal Williams,GB,RB,4000.0,Jamaal Williams (15642378),10.3,15.410000000000002,22.500000000000004
1,Giovani Bernard,CIN,RB,4500.0,Giovani Bernard (15642308),10.180000000000001,14.67,20.21
2,Alvin Kamara,NO,RB,7900.0,Alvin Kamara (15642244),19.84,24.98,28.67
5,Mike Davis,CAR,RB,6600.0,Mike Davis (15642256),15.190000000000001,19.249999999999996,23.74
6,Kareem Hunt,CLE,RB,6800.0,Kareem Hunt (15642252),14.73,19.619999999999997,27.619999999999997
9,Derrick Henry,TEN,RB,7500.0,Derrick Henry (15642248),15.685,20.265,25.93
15,Ezekiel Elliott,DAL,RB,7800.0,Ezekiel Elliott (15642246),14.58,20.045,26.525000000000002
0,Tre'Quan Smith,NO,WR,4000.0,Tre'Quan Smith (15642556),7.66,12.16,17.5
1,Davante Adams,GB,WR,7900.0,Davante Adams (15642452),18.824999999999996,23.799999999999997,28.700000000000003
2,Tyler Boyd,CIN,WR,5400.0,Tyler Boyd (15642496),12.74,15.950000000000001,22.25
3,Terry McLaurin,WAS,WR,5800.0,Terry McLaurin (15642486),14.390000000000002,17.0,21.725
4,Stefon Diggs,BUF,WR,7000.0,Stefon Diggs (15642462),17.399999999999995,20.349999999999998,26.749999999999996
5,Diontae Johnson,PIT,WR,4200.0,Diontae Johnson (15642546),8.25,12.150000000000002,17.7
6,Keenan Allen,LAC,WR,6200.0,Keenan Allen (15642478),14.600000000000001,17.85,22.225
7,DeAndre Hopkins,ARI,WR,8200.0,DeAndre Hopkins (15642450),18.324999999999996,23.574999999999996,29.0
8,Kenny Golladay,DET,WR,6700.0,Kenny Golladay (15642468),15.83,18.575000000000003,26.25
9,Robby Anderson,CAR,WR,6000.0,Robby Anderson (15642482),14.64,16.5,23.0
0,Hunter Henry,LAC,TE,4500.0,Hunter Henry (15642764),9.820000000000002,13.19,18.41
1,Travis Kelce,KC,TE,6300.0,Travis Kelce (15642754),15.959999999999999,17.31,21.574999999999996
2,Jared Cook,NO,TE,4300.0,Jared Cook (15642768),7.32,11.170000000000002,15.72
3,Darren Waller,LV,TE,6100.0,Darren Waller (15667833),12.290000000000001,15.68,20.95
0,Browns,CLE,DST,2800.0,Browns  (15642950),5.814285714285716,6.957142857142858,8.328571428571431
1,Cardinals,ARI,DST,2300.0,Cardinals  (15642958),4.428571428571428,5.685714285714287,6.042857142857143
3,Team,WAS,DST,2500.0,WAS Football Team  (15642951),4.128571428571428,6.014285714285714,8.171428571428569
